rm,cfg,mode,verdict,distinct,depth
4,VEA,BFS,DETECTED,10,10
4,VEA,DFS,DETECTED,10,10
4,V,BFS,DETECTED,10,10
4,V,DFS,DETECTED,10,10
4,VpEA,BFS,DETECTED,10,10
4,VpEA,DFS,DETECTED,10,10
4,EA,BFS,DETECTED,10,10
4,EA,DFS,DETECTED,10,10
4,E,BFS,DETECTED,60,10
4,E,DFS,DETECTED,60,10
8,VEA,BFS,DETECTED,28,28
8,VEA,DFS,DETECTED,28,28
8,V,BFS,DETECTED,28,28
8,V,DFS,DETECTED,28,28
8,VpEA,BFS,DETECTED,28,28
8,VpEA,DFS,DETECTED,28,28
8,EA,BFS,DETECTED,28,28
8,EA,DFS,DETECTED,28,28
8,E,BFS,DETECTED,4298,28
8,E,DFS,DETECTED,4298,28
12,VEA,BFS,DETECTED,44,44
12,VEA,DFS,DETECTED,44,44
12,V,BFS,DETECTED,134,44
12,V,DFS,DETECTED,134,44
12,VpEA,BFS,DETECTED,44,44
12,VpEA,DFS,DETECTED,44,44
12,EA,BFS,DETECTED,44,44
12,EA,DFS,DETECTED,44,44
12,E,BFS,DETECTED,128525,44
12,E,DFS,DETECTED,128525,44
16,VEA,BFS,DETECTED,62,62
16,VEA,DFS,DETECTED,62,62
16,V,BFS,DETECTED,62,62
16,V,DFS,DETECTED,62,62
16,VpEA,BFS,DETECTED,62,62
16,VpEA,DFS,DETECTED,62,62
16,EA,BFS,DETECTED,62,62
16,EA,DFS,DETECTED,62,62
16,E,BFS,TIMEOUT,∞,
16,E,DFS,TIMEOUT,∞,
