rm,cfg,mode,verdict,states,distinct,depth,elapsed,paper
4,VEA,BFS,OK,26,19,19,0.0,19
4,VEA,DFS,OK,26,19,19,0.0,19
4,V,BFS,OK,453,207,19,0.0,211
4,V,DFS,OK,52,35,19,0.0,35
4,VpEA,BFS,OK,26,19,19,0.0,19
4,VpEA,DFS,OK,26,19,19,0.0,19
4,EA,BFS,OK,100,48,19,0.0,48
4,EA,DFS,OK,33,22,19,0.0,22
4,E,BFS,OK,570,246,19,0.0,246
4,E,DFS,OK,72,58,19,0.0,58
8,VEA,BFS,OK,64,35,35,0.0,35
8,VEA,DFS,OK,64,35,35,0.0,35
8,V,BFS,OK,24187,7119,35,0.0,"8,000"
8,V,DFS,OK,145,73,35,0.0,73
8,VpEA,BFS,OK,64,35,35,0.0,35
8,VpEA,DFS,OK,64,35,35,0.0,35
8,EA,BFS,OK,2716,640,35,0.0,640
8,EA,DFS,OK,94,42,35,0.0,42
8,E,BFS,OK,99090,21520,35,0.0,"22,000"
8,E,DFS,OK,2470,695,35,0.0,695
12,VEA,BFS,OK,231,74,74,0.0,74
12,VEA,DFS,OK,231,74,74,0.0,74
12,V,BFS,TIMEOUT,,,,0.0,∞
12,V,DFS,OK,554,209,74,0.0,209
12,VpEA,BFS,OK,231,74,74,0.0,74
12,VpEA,DFS,OK,231,74,74,0.0,74
12,EA,BFS,OK,75914,11242,74,0.0,"11,000"
12,EA,DFS,OK,301,86,74,0.0,86
12,E,BFS,OK,18151958,2576393,74,0.0,"2,500,000"
12,E,DFS,OK,204351,27299,74,0.0,"27,000"
16,VEA,BFS,OK,413,91,91,0.0,91
16,VEA,DFS,OK,413,91,91,0.0,91
16,V,BFS,TIMEOUT,,,,305.0,∞
16,V,DFS,OK,903,270,91,1.3,270
16,VpEA,BFS,OK,413,91,91,1.1,91
16,VpEA,DFS,OK,413,91,91,1.2,91
16,EA,BFS,OK,2028319,204747,91,34.1,"205,000"
16,EA,DFS,OK,537,107,91,1.3,107
16,E,BFS,TIMEOUT,,,,305.0,∞
16,E,DFS,OK,6257213,557230,91,84.7,"557,000"
