rm,cfg,mode,verdict,states,distinct,depth,elapsed
20,VEA,BFS,OK,482,102,102,1.8
20,VEA,DFS,OK,482,102,102,1.5
20,V,BFS,TIMEOUT,,,,305.1
20,V,DFS,OK,1147,352,102,2.0
20,VpEA,BFS,OK,482,102,102,1.7
20,VpEA,DFS,OK,482,102,102,1.5
20,EA,BFS,TIMEOUT,,,,305.0
20,EA,DFS,OK,672,121,102,1.9
20,E,BFS,TIMEOUT,,,,305.0
20,E,DFS,TIMEOUT,,,,125.1
24,VEA,BFS,OK,674,122,122,2.2
24,VEA,DFS,OK,674,122,122,2.0
24,V,BFS,TIMEOUT,,,,305.1
24,V,DFS,OK,1628,468,122,2.3
24,VpEA,BFS,OK,674,122,122,1.9
24,VpEA,DFS,OK,674,122,122,1.9
24,EA,BFS,TIMEOUT,,,,305.1
24,EA,DFS,OK,950,145,122,2.3
24,E,BFS,TIMEOUT,,,,305.1
24,E,DFS,TIMEOUT,,,,128.3
